image_path,face_id,emotion,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,1,Neutral,0.27224066853523254,170,595,416,841
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,2,Fear,0.32441994547843933,569,748,742,921
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,3,Sadness,0.18602481484413147,219,159,519,459
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,4,Neutral,0.421211838722229,516,412,723,619
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,1,Sadness,0.3458278477191925,759,232,823,297
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,2,Neutral,0.31811264157295227,488,200,556,268
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,3,Sadness,0.27748963236808777,1009,177,1094,263
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,4,Neutral,0.20187845826148987,215,194,287,266
./outputs\2025-05-22_14-50-43\processed_images\000010.jpg,1,Sadness,0.3599238991737366,421,255,570,405
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,1,Neutral,0.27224066853523254,170,595,416,841
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,2,Fear,0.32441994547843933,569,748,742,921
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,3,Sadness,0.18602481484413147,219,159,519,459
./outputs\2025-05-22_14-50-43\processed_images\000002.jpg,4,Neutral,0.421211838722229,516,412,723,619
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,1,Sadness,0.3458278477191925,759,232,823,297
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,2,Neutral,0.31811264157295227,488,200,556,268
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,3,Sadness,0.27748963236808777,1009,177,1094,263
./outputs\2025-05-22_14-50-43\processed_images\000005.jpg,4,Neutral,0.20187845826148987,215,194,287,266
./outputs\2025-05-22_14-50-43\processed_images\000010.jpg,1,Sadness,0.3599238991737366,421,255,570,405
