image_path,face_id,emotion,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
./outputs\2025-05-22_14-32-45\processed_images\000002.jpg,1,Happiness,0.38902178406715393,568,255,740,428
./outputs\2025-05-22_14-32-45\processed_images\000002.jpg,2,Happiness,0.31741049885749817,779,157,1043,421
./outputs\2025-05-22_14-32-45\processed_images\000015.jpg,1,Contempt,0.5037754774093628,71,79,268,277
./outputs\2025-05-22_14-32-45\processed_images\000017.jpg,1,Neutral,0.29015931487083435,344,45,474,175
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,1,Neutral,0.3050861656665802,260,332,473,545
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,2,Fear,0.32640084624290466,490,158,636,305
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,3,Neutral,0.3122791349887848,13,277,151,415
./outputs\2025-05-22_14-32-45\processed_images\000030.jpg,1,Neutral,0.3536737859249115,633,142,808,317
./outputs\2025-05-22_14-32-45\processed_images\000030.jpg,2,Neutral,0.26203688979148865,278,50,474,246
./outputs\2025-05-22_14-32-45\processed_images\000037.jpg,1,Sadness,0.2522870898246765,301,190,526,416
./outputs\2025-05-22_14-32-45\processed_images\000037.jpg,2,Disgust,0.27565181255340576,178,407,385,615
./outputs\2025-05-22_14-32-45\processed_images\000050.jpg,1,Disgust,0.18805065751075745,42,216,156,330
./outputs\2025-05-22_14-32-45\processed_images\000002.jpg,1,Happiness,0.38902178406715393,568,255,740,428
./outputs\2025-05-22_14-32-45\processed_images\000002.jpg,2,Happiness,0.31741049885749817,779,157,1043,421
./outputs\2025-05-22_14-32-45\processed_images\000015.jpg,1,Contempt,0.5037754774093628,71,79,268,277
./outputs\2025-05-22_14-32-45\processed_images\000017.jpg,1,Neutral,0.29015931487083435,344,45,474,175
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,1,Neutral,0.3050861656665802,260,332,473,545
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,2,Fear,0.32640084624290466,490,158,636,305
./outputs\2025-05-22_14-32-45\processed_images\000028.jpg,3,Neutral,0.3122791349887848,13,277,151,415
./outputs\2025-05-22_14-32-45\processed_images\000030.jpg,1,Neutral,0.3536737859249115,633,142,808,317
./outputs\2025-05-22_14-32-45\processed_images\000030.jpg,2,Neutral,0.26203688979148865,278,50,474,246
./outputs\2025-05-22_14-32-45\processed_images\000037.jpg,1,Sadness,0.2522870898246765,301,190,526,416
./outputs\2025-05-22_14-32-45\processed_images\000037.jpg,2,Disgust,0.27565181255340576,178,407,385,615
./outputs\2025-05-22_14-32-45\processed_images\000050.jpg,1,Disgust,0.18805065751075745,42,216,156,330
./outputs\2025-05-22_14-32-45\processed_images\000046.jpg,2,Sadness,0.29251012206077576,366,460,475,570
./outputs\2025-05-22_14-32-45\processed_images\000046.jpg,2,Sadness,0.29251012206077576,366,460,475,570
